Filename,Word Count,COCA_Academic_Range_AW,COCA_Academic_Frequency_AW,COCA_Academic_Range_Log_AW,COCA_Academic_Frequency_Log_AW,COCA_Academic_Range_CW,COCA_Academic_Frequency_CW,COCA_Academic_Range_Log_CW,COCA_Academic_Frequency_Log_CW,COCA_Academic_Range_FW,COCA_Academic_Frequency_FW,COCA_Academic_Range_Log_FW,COCA_Academic_Frequency_Log_FW
CHN_B1_1_1.txt,2308,0.631322502759,6885.84018796,-0.34746462707,2.99192113994,0.446357075249,1129.95282016,-0.545162818051,2.43482462216,0.894746224018,15083.2492388,-0.0659071822265,3.7853258307
CHN_B2_0_1.txt,2487,0.598234589236,8780.15020758,-0.48266866513,2.86615217584,0.370944886982,991.844879632,-0.780232860539,2.14480429678,0.938476186208,20438.8633662,-0.0372295799307,3.94597476309
TWN_B2_0_GPT.txt,309,0.52170625709,7987.44443967,-0.557921794637,2.74941554003,0.281511219394,620.524512178,-0.857332076038,2.02329565016,0.942047573058,20879.5543128,-0.0339538021861,4.02012534731
JPN_B1_2_GPT.txt,317,0.495169525791,6220.47330891,-0.587326654186,2.6393383652,0.279682802686,549.348257235,-0.853938542759,2.00105082755,0.934430922889,17780.8436066,-0.0438485736351,3.94046296116
IDN_B1_2_1.txt,2152,0.591669801978,7356.13927757,-0.514477874524,2.79865473194,0.373658173377,1039.36237937,-0.828048485362,2.12301230829,0.913029503652,16667.3744286,-0.0522596038782,3.79458439449
JPN_B1_2_2.txt,2218,0.581375013395,6994.91685592,-0.527987307978,2.77446368156,0.371147012943,1047.0712863,-0.826110857297,2.11562217003,0.924589097368,16705.2521319,-0.0412766858419,3.8500753288
CHN_B1_1_2.txt,2332,0.591029012446,8271.60774901,-0.489851305036,2.83753602514,0.378769991574,979.411430072,-0.778810686505,2.152706309,0.908843870725,19190.1935887,-0.0571932041326,3.86292970823
CHN_B2_0_2.txt,2550,0.619434743888,7108.33035927,-0.374256001774,2.95903644963,0.428498262683,1009.263861,-0.579651259179,2.38797523642,0.925880885387,16897.1113368,-0.0446040477984,3.87556902761
KOR_B2_0_1.txt,2346,0.613637274622,6116.24806282,-0.364399014809,2.94314121145,0.441456003905,1050.15148541,-0.553181512231,2.42091496758,0.887302870464,14168.3220931,-0.0643473632787,3.77316967853
KOR_B1_1_1.txt,2048,0.544617641292,7113.70771797,-0.588857942123,2.68894573575,0.335611099249,888.636660352,-0.890597534839,2.0306210563,0.920656921885,18313.6980115,-0.0459757037833,3.87338683715
TWN_A2_0_2.txt,2221,0.60035120498,7896.31807056,-0.469326913142,2.87154215882,0.394544149934,1063.89225238,-0.743873488202,2.21609144381,0.909178062721,18148.8169254,-0.0573519394935,3.85508854247
CHN_B1_1_GPT.txt,328,0.491664916174,6600.53382411,-0.589736405074,2.64060588444,0.258419796695,431.381889168,-0.876832012205,1.95647654029,0.939412243744,18443.1022706,-0.0386153735272,3.9538898933
KOR_B2_0_2.txt,2289,0.567430407353,6275.50595933,-0.519269722366,2.76821973072,0.368704847818,1027.27411655,-0.79359514381,2.1590602428,0.90285293599,15133.8289637,-0.056244599953,3.79640058607
KOR_B1_1_2.txt,2237,0.611529433427,5685.44448222,-0.369754940915,2.92605498823,0.449004317462,1146.36539842,-0.544228485208,2.45603256149,0.904279076272,13861.4963665,-0.0554830976095,3.77268657953
CHN_A2_0_GPT.txt,337,0.511332051476,6584.65817851,-0.553981420339,2.71009154407,0.280265806951,701.448948123,-0.833071565947,2.04333661613,0.93462987758,17362.3019787,-0.0427070359479,3.93154174819
KOR_B2_0_GPT.txt,372,0.516229335295,7132.69020871,-0.561792182533,2.70698728121,0.284472433073,634.58402605,-0.850379931585,2.01914563322,0.918395724445,18408.8156433,-0.0610075591773,3.90059484684
TWN_A2_0_1.txt,2196,0.617026547016,6455.61880085,-0.370110386342,2.94397044464,0.442526271392,1058.34216027,-0.558460554445,2.42058194215,0.911361778506,15559.3790312,-0.0524140954267,3.82678667795
JPN_B2_0_1.txt,2296,0.584368293594,7461.86662073,-0.51683861686,2.79229067264,0.369298975005,1007.98757975,-0.819110797426,2.10664364428,0.912556944392,17310.2720965,-0.0555812893868,3.8385653093
IDN_B2_0_2.txt,660,0.552595741917,7158.93308905,-0.60794156875,2.6747857589,0.329381989197,855.631243402,-0.940605226039,1.9785965647,0.936185762348,17991.0778574,-0.0362632669372,3.87117811366
JPN_B1_1_1.txt,2305,0.648807939241,6218.96139422,-0.314219133798,3.03678687955,0.477381412284,1186.32430094,-0.486515597858,2.53908806219,0.911962695536,13944.5007918,-0.0497289477398,3.80079822199
JPN_B1_1_GPT.txt,254,0.49927432573,5173.56103299,-0.578968596188,2.63360982595,0.296064205386,584.323744291,-0.832652643446,2.05700260591,0.915487825229,14573.2036725,-0.0593747644531,3.81461256579
