Filename,cw_percentage,fw_percentage,COCA_spoken_Range_AW,COCA_spoken_Frequency_AW,COCA_spoken_Range_Log_AW,COCA_spoken_Frequency_Log_AW,COCA_spoken_Range_CW,COCA_spoken_Frequency_CW,COCA_spoken_Range_Log_CW,COCA_spoken_Frequency_Log_CW,COCA_spoken_Range_FW,COCA_spoken_Frequency_FW,COCA_spoken_Range_Log_FW,COCA_spoken_Frequency_Log_FW
CHN_B2_0_2.txt,0.620784313725,0.379215686275,0.990614000782,0.990614000782,0.990614000782,0.990614000782,0.984905660377,0.984905660377,0.984905660377,0.984905660377,1.0,1.0,1.0,1.0,
KOR_B2_0_1.txt,0.613810741688,0.386189258312,0.993657505285,0.993657505285,0.993657505285,0.993657505285,0.989718985607,0.989718985607,0.989718985607,0.989718985607,1.0,1.0,1.0,1.0,
KOR_B1_1_1.txt,0.64501953125,0.35498046875,0.992221682061,0.992221682061,0.992221682061,0.992221682061,0.987969924812,0.987969924812,0.987969924812,0.987969924812,1.0,1.0,1.0,1.0,
TWN_A2_0_2.txt,0.601530841963,0.398469158037,0.994623655914,0.994623655914,0.994623655914,0.994623655914,0.991091314031,0.991091314031,0.991091314031,0.991091314031,1.0,1.0,1.0,1.0,
CHN_B1_1_GPT.txt,0.658536585366,0.341463414634,0.996951219512,0.996951219512,0.996951219512,0.996951219512,0.99537037037,0.99537037037,0.99537037037,0.99537037037,1.0,1.0,1.0,1.0,
KOR_B2_0_2.txt,0.629095674967,0.370904325033,0.993076590221,0.993076590221,0.993076590221,0.993076590221,0.989056087551,0.989056087551,0.989056087551,0.989056087551,1.0,1.0,1.0,1.0,
KOR_B1_1_2.txt,0.644613321413,0.355386678587,0.99243435692,0.99243435692,0.99243435692,0.99243435692,0.988292011019,0.988292011019,0.988292011019,0.988292011019,1.0,1.0,1.0,1.0,
CHN_A2_0_GPT.txt,0.646884272997,0.353115727003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
KOR_B2_0_GPT.txt,0.634408602151,0.365591397849,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
TWN_A2_0_1.txt,0.629326047359,0.370673952641,0.990925589837,0.990925589837,0.990925589837,0.990925589837,0.985611510791,0.985611510791,0.985611510791,0.985611510791,1.0,1.0,1.0,1.0,
JPN_B2_0_1.txt,0.605836236934,0.394163763066,0.993088552916,0.993088552916,0.993088552916,0.993088552916,0.98865248227,0.98865248227,0.98865248227,0.98865248227,1.0,1.0,1.0,1.0,
IDN_B2_0_2.txt,0.639393939394,0.360606060606,0.980303030303,0.980303030303,0.980303030303,0.980303030303,0.969194312796,0.969194312796,0.969194312796,0.969194312796,1.0,1.0,1.0,1.0,
JPN_B1_1_1.txt,0.604338394794,0.395661605206,0.993993993994,0.993993993994,0.993993993994,0.993993993994,0.990133897111,0.990133897111,0.990133897111,0.990133897111,1.0,1.0,1.0,1.0,
JPN_B1_1_GPT.txt,0.673228346457,0.326771653543,0.992125984252,0.992125984252,0.992125984252,0.992125984252,0.988304093567,0.988304093567,0.988304093567,0.988304093567,1.0,1.0,1.0,1.0,
IDN_B1_1_2.txt,0.614968440036,0.385031559964,0.993267504488,0.993267504488,0.993267504488,0.993267504488,0.989082969432,0.989082969432,0.989082969432,0.989082969432,1.0,1.0,1.0,1.0,
CHN_B1_2_1.txt,0.605332167832,0.394667832168,0.99302832244,0.99302832244,0.99302832244,0.99302832244,0.988505747126,0.988505747126,0.988505747126,0.988505747126,1.0,1.0,1.0,1.0,
JPN_B2_0_2.txt,0.615584415584,0.384415584416,0.990956072351,0.990956072351,0.990956072351,0.990956072351,0.985355648536,0.985355648536,0.985355648536,0.985355648536,1.0,1.0,1.0,1.0,
IDN_B2_0_1.txt,0.606442577031,0.393557422969,0.991596638655,0.991596638655,0.991596638655,0.991596638655,0.986143187067,0.986143187067,0.986143187067,0.986143187067,1.0,1.0,1.0,1.0,
JPN_B1_1_2.txt,0.614649681529,0.385350318471,0.988784208165,0.988784208165,0.988784208165,0.988784208165,0.981910274964,0.981910274964,0.981910274964,0.981910274964,1.0,1.0,1.0,1.0,
IDN_B1_1_1.txt,0.61134751773,0.38865248227,0.991050400377,0.991050400377,0.991050400377,0.991050400377,0.985395849347,0.985395849347,0.985395849347,0.985395849347,1.0,1.0,1.0,1.0,
JPN_A2_0_GPT.txt,0.6632996633,0.3367003367,0.996632996633,0.996632996633,0.996632996633,0.996632996633,0.994923857868,0.994923857868,0.994923857868,0.994923857868,1.0,1.0,1.0,1.0,
CHN_B1_2_2.txt,0.613467424574,0.386532575426,0.992599042229,0.992599042229,0.992599042229,0.992599042229,0.98796886058,0.98796886058,0.98796886058,0.98796886058,1.0,1.0,1.0,1.0,
KOR_B1_2_1.txt,0.642654028436,0.357345971564,0.987747408106,0.987747408106,0.987747408106,0.987747408106,0.980994152047,0.980994152047,0.980994152047,0.980994152047,1.0,1.0,1.0,1.0,
CHN_B1_2_GPT.txt,0.669230769231,0.330769230769,0.992307692308,0.992307692308,0.992307692308,0.992307692308,0.988505747126,0.988505747126,0.988505747126,0.988505747126,1.0,1.0,1.0,1.0,
KOR_B1_2_2.txt,0.628635346756,0.371364653244,0.991111111111,0.991111111111,0.991111111111,0.991111111111,0.985915492958,0.985915492958,0.985915492958,0.985915492958,1.0,1.0,1.0,1.0,
